author	n_ayets	d_rate_s02	d_rate_s05	d_rate_s08	slope	intercept	mean_divergence	var_divergence	cluster_id
erhanaktas	164	0.0426829268292682	0.0853658536585365	0.4268292682926829	0.6402439024390243	-0.1351626016260162	0.1849593495934959	0.0295541674928944	2
ilyasyorulmaz	164	0.0548780487804878	0.0975609756097561	0.4024390243902439	0.5792682926829268	-0.1046747967479674	0.1849593495934959	0.0239523431819684	2
bahaeddinsaglam	164	0.0609756097560975	0.0792682926829268	0.4085365853658536	0.5792682926829268	-0.1067073170731706	0.1829268292682927	0.0255056513979773	2
diyanetislerieski	164	0.024390243902439	0.073170731707317	0.4512195121951219	0.7113821138211383	-0.1727642276422764	0.1829268292682927	0.036387071187785	0
diyanetvakfi	164	0.0426829268292682	0.0975609756097561	0.4085365853658536	0.6097560975609755	-0.121951219512195	0.1829268292682927	0.0259518143961927	2
mehmetokuyan	164	0.024390243902439	0.073170731707317	0.4512195121951219	0.7113821138211383	-0.1727642276422764	0.1829268292682927	0.036387071187785	0
spiris	164	0.024390243902439	0.0914634146341463	0.4329268292682927	0.6808943089430893	-0.1575203252032519	0.1829268292682927	0.0319998017053341	2
abulac	164	0.0548780487804878	0.0853658536585365	0.4024390243902439	0.5792682926829269	-0.108739837398374	0.1808943089430894	0.0246959481789939	2
elmalilisade	164	0.0548780487804878	0.0975609756097561	0.3902439024390244	0.5589430894308943	-0.0985772357723577	0.1808943089430894	0.0222172648555753	2
ismailhakkiizmirli	164	0.0182926829268292	0.048780487804878	0.4756097560975609	0.7621951219512195	-0.2002032520325203	0.1808943089430894	0.0435835151034437	0
sates	164	0.0365853658536585	0.1097560975609756	0.3963414634146341	0.5995934959349594	-0.1189024390243902	0.1808943089430894	0.0241010641813735	2
ynuri	164	0.0182926829268292	0.0975609756097561	0.4268292682926829	0.6808943089430894	-0.1595528455284552	0.1808943089430894	0.0312892458192874	2
golpinarli	164	0.0365853658536585	0.1036585365853658	0.3963414634146341	0.5995934959349594	-0.1209349593495935	0.1788617886178861	0.0243985061801837	2
haydarozturkserkanyilmaz	164	0.0182926829268292	0.1036585365853658	0.4024390243902439	0.6402439024390244	-0.1453252032520325	0.1747967479674796	0.0271250578359442	2
mustafacavdar	164	0.0365853658536585	0.0975609756097561	0.3902439024390244	0.5894308943089431	-0.1199186991869918	0.1747967479674796	0.0238284090157974	2
kuranyolu	164	0.0426829268292682	0.0853658536585365	0.3841463414634146	0.5691056910569106	-0.1138211382113821	0.1707317073170731	0.0230765417410271	2
mehmetcoban	164	0.0853658536585365	0.0548780487804878	0.3658536585365853	0.4674796747967479	-0.065040650406504	0.1686991869918699	0.0195898605327516	1
mahmutkisa	164	0.0792682926829268	0.0548780487804878	0.3414634146341463	0.4369918699186992	-0.0599593495934959	0.1585365853658536	0.0168302597660123	1
ahmettekin	164	0.0792682926829268	0.048780487804878	0.3414634146341463	0.4369918699186992	-0.0619918699186991	0.1565040650406504	0.0172598982087381	1
