t,segment_id,meal_slug,sure,ayet,class,cond,A0_ABL_score,T0_DAT_score,B_abl,T_teleo,Pi,D_c
5,ahmettekin_s007_a096,ahmettekin,7,96,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,ahmetvarol_s002_a010,ahmetvarol,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,ahmetvarol_s002_a010,ahmetvarol,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,ahmetvarol_s002_a010,ahmetvarol,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,ahmetvarol_s002_a010,ahmetvarol,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,ahmetvarol_s002_a010,ahmetvarol,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,ahmetvarol_s002_a010,ahmetvarol,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,ahmetvarol_s008_a053,ahmetvarol,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,ahmetvarol_s008_a053,ahmetvarol,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,ahmetvarol_s008_a053,ahmetvarol,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,ahmetvarol_s008_a053,ahmetvarol,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,ahmetvarol_s008_a053,ahmetvarol,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,ahmetvarol_s008_a053,ahmetvarol,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,ahmetvarol_s007_a096,ahmetvarol,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
1,ahmetvarol_s007_a096,ahmetvarol,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
2,ahmetvarol_s007_a096,ahmetvarol,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
3,ahmetvarol_s007_a096,ahmetvarol,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
4,ahmetvarol_s007_a096,ahmetvarol,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
5,ahmetvarol_s007_a096,ahmetvarol,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
0,alifikriyavuz_s002_a010,alifikriyavuz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,alifikriyavuz_s002_a010,alifikriyavuz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,alifikriyavuz_s002_a010,alifikriyavuz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,alifikriyavuz_s002_a010,alifikriyavuz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,alifikriyavuz_s002_a010,alifikriyavuz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,alifikriyavuz_s002_a010,alifikriyavuz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,alifikriyavuz_s008_a053,alifikriyavuz,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,alifikriyavuz_s008_a053,alifikriyavuz,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,alifikriyavuz_s008_a053,alifikriyavuz,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,alifikriyavuz_s008_a053,alifikriyavuz,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,alifikriyavuz_s008_a053,alifikriyavuz,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,alifikriyavuz_s008_a053,alifikriyavuz,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,alifikriyavuz_s007_a096,alifikriyavuz,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,alifikriyavuz_s007_a096,alifikriyavuz,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,alifikriyavuz_s007_a096,alifikriyavuz,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,alifikriyavuz_s007_a096,alifikriyavuz,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,alifikriyavuz_s007_a096,alifikriyavuz,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,alifikriyavuz_s007_a096,alifikriyavuz,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,aparliyan_s002_a010,aparliyan,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,aparliyan_s002_a010,aparliyan,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,aparliyan_s002_a010,aparliyan,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,aparliyan_s002_a010,aparliyan,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,aparliyan_s002_a010,aparliyan,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,aparliyan_s002_a010,aparliyan,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,aparliyan_s008_a053,aparliyan,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,aparliyan_s008_a053,aparliyan,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,aparliyan_s008_a053,aparliyan,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,aparliyan_s008_a053,aparliyan,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,aparliyan_s008_a053,aparliyan,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,aparliyan_s008_a053,aparliyan,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,aparliyan_s007_a096,aparliyan,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,aparliyan_s007_a096,aparliyan,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
