segment_id,meal_slug,sure,ayet,class,cond_sart_flag,A0_ABL_score,T0_DAT_score,Pi0_static,D0_static,steps,B_final,T_final,Pi_final,D_final
diyanetvakfi_s030_a041,diyanetvakfi,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
edip_s002_a010,edip,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
edip_s016_a112,edip,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
edip_s008_a053,edip,8,53,teleological_surface,0,0.000000,0.700000,-0.700000,0,12,0.000000,1.401005,-1.401005,0
edip_s007_a096,edip,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
edip_s030_a041,edip,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
elmalilisade_s002_a010,elmalilisade,2,10,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
elmalilisade_s016_a112,elmalilisade,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
elmalilisade_s008_a053,elmalilisade,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
elmalilisade_s007_a096,elmalilisade,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
elmalilisade_s030_a041,elmalilisade,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
erhanaktas_s002_a010,erhanaktas,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
erhanaktas_s016_a112,erhanaktas,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
erhanaktas_s008_a053,erhanaktas,8,53,teleological_surface,0,0.000000,0.700000,-0.700000,0,12,0.000000,1.401005,-1.401005,0
erhanaktas_s007_a096,erhanaktas,7,96,conditional_only,1,0.000000,0.000000,-1.500000,0,12,0.000000,0.000000,-1.500000,0
erhanaktas_s030_a041,erhanaktas,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
golpinarli_s002_a010,golpinarli,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
golpinarli_s016_a112,golpinarli,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
golpinarli_s008_a053,golpinarli,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
golpinarli_s007_a096,golpinarli,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
golpinarli_s030_a041,golpinarli,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
haydarozturkserkanyilmaz_s002_a010,haydarozturkserkanyilmaz,2,10,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
haydarozturkserkanyilmaz_s016_a112,haydarozturkserkanyilmaz,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
haydarozturkserkanyilmaz_s008_a053,haydarozturkserkanyilmaz,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
haydarozturkserkanyilmaz_s007_a096,haydarozturkserkanyilmaz,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
haydarozturkserkanyilmaz_s030_a041,haydarozturkserkanyilmaz,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
hayrat_s002_a010,hayrat,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
hayrat_s016_a112,hayrat,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
hayrat_s008_a053,hayrat,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
hayrat_s007_a096,hayrat,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
hayrat_s030_a041,hayrat,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
hbasricantay_s002_a010,hbasricantay,2,10,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
hbasricantay_s016_a112,hbasricantay,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
hbasricantay_s008_a053,hbasricantay,8,53,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
